Index	X	Acquisition
185	2.36747219437431	7
186	2.39708030143994	12
187	2.42668848203639	10
188	2.45629673707184	12
189	2.48590506745446	9
190	2.51551347409242	4
191	2.5451219578939	9
192	2.57473051976707	15
193	2.6043391606201	11
194	2.63394788136117	15
195	2.66355668289845	12
196	2.69316556614011	10
197	2.72277453199433	28
198	2.75238358136929	51
199	2.78199271517315	126
200	2.81160193431409	241
201	2.84121123970029	371
202	2.87082063223991	473
203	2.90043011284113	517
204	2.93003968241212	530
205	2.95964934186107	594
206	2.98925909209613	586
207	3.01886893402549	593
208	3.04847886855732	642
209	3.07808889659979	633
210	3.10769901906108	589
211	3.13730923684936	623
212	3.1669195508728	600
213	3.19652996203958	631
214	3.22614047125787	672
215	3.25575107943584	646
216	3.28536178748167	627
217	3.31497259630354	678
218	3.34458350680961	673
219	3.37419451990805	656
220	3.40380563650706	650
221	3.43341685751478	676
222	3.46302818383941	659
223	3.49263961638911	684
224	3.52225115607206	652
225	3.55186280379644	745
226	3.5814745604704	631
227	3.61108642700214	668
228	3.64069840429981	695
229	3.67031049327161	715
230	3.69992269482569	701
231	3.72953500987023	755
232	3.75914743931342	724
233	3.78875998406341	717
234	3.81837264502839	814
235	3.84798542311652	696
236	3.87759831923599	692
237	3.90721133429496	752
238	3.93682446920161	768
239	3.96643772486412	760
240	3.99605110219065	767
241	4.02566460208938	755
242	4.05527822546848	706
243	4.08489197323613	729
244	4.1145058463005	703
245	4.14411984556977	706
246	4.1737339719521	780
247	4.20334822635568	764
248	4.23296260968868	705
249	4.26257712285926	742
250	4.2921917667756	741
251	4.32180654234588	700
252	4.35142145047828	757
253	4.38103649208095	843
254	4.41065166806209	753
255	4.44026697932985	761
256	4.46988242679242	833
257	4.49949801135797	803
258	4.52911373393467	792
259	4.5587295954307	752
260	4.58834559675423	726
261	4.61796173881343	731
262	4.64757802251647	798
263	4.67719444877154	801
264	4.70681101848681	742
265	4.73642773257044	719
266	4.76604459193061	789
267	4.79566159747549	752
268	4.82527875011327	756
269	4.85489605075211	787
270	4.88451350030019	794
271	4.91413109966567	784
272	4.94374884975674	802
273	4.97336675148157	804
274	5.00298480574833	702
275	5.03260301346519	785
276	5.06222137554033	768
277	5.09183989288193	824
278	5.12145856639815	827
279	5.15107739699716	793
280	5.18069638558716	752
281	5.21031553307629	795
282	5.23993484037275	811
283	5.26955430838471	817
284	5.29917393802033	792
285	5.32879373018779	827
286	5.35841368579527	779
287	5.38803380575093	793
288	5.41765409096296	771
289	5.44727454233953	792
290	5.4768951607888	763
291	5.50651594721896	830
292	5.53613690253818	824
293	5.56575802765462	796
294	5.59537932347647	820
295	5.6250007909119	818
296	5.65462243086908	782
297	5.68424424425619	835
298	5.71386623198139	822
299	5.74348839495287	824
300	5.7731107340788	882
301	5.80273325026734	846
302	5.83235594442668	817
303	5.86197881746499	835
304	5.89160187029043	759
305	5.9212251038112	830
306	5.95084851893545	863
307	5.98047211657136	790
308	6.01009589762711	786
309	6.03971986301087	832
310	6.06934401363081	856
311	6.09896835039511	872
312	6.12859287421194	886
313	6.15821758598947	913
314	6.18784248663588	857
315	6.21746757705935	790
316	6.24709285816803	826
317	6.27671833087012	858
318	6.30634399607378	824
319	6.33596985468719	823
320	6.36559590761851	784
321	6.39522215577593	831
322	6.42484860006762	834
323	6.45447524140175	789
324	6.48410208068649	815
325	6.51372911883002	865
326	6.54335635674051	837
327	6.57298379532614	819
328	6.60261143549508	851
329	6.6322392781555	824
330	6.66186732421557	868
331	6.69149557458348	824
332	6.72112403016739	894
333	6.75075269187548	807
334	6.78038156061592	875
335	6.81001063729688	914
336	6.83963992282655	856
337	6.86926941811308	814
